id,created_at,text
1497350789358051333,2022-02-25 23:20:22+00:00,Great to speak to thousands of freedom-loving Americans at CPAC in the free state of Florida. https://t.co/VEtMNME1gu
1496221812430102529,2022-02-22 20:34:13+00:00,"The Biden-Fauci Admin. thinks a margarita will solve all the problems they’ve created for the American people. 

Well, you can have a margarita, but it will not cure Bidenflation, which is causing massive increases in prices across the board for Americans. #NationalMargaritaDay https://t.co/4pm0d6C0Kk"
1491436057895706632,2022-02-09 15:37:20+00:00,"Even worse, our school children were used as pawns in their political games.

The legacy media will try to whitewash the Left’s failures and hypocrisy. Don't let them just move on to the next narrative."
1491436056490950658,2022-02-09 15:37:20+00:00,"From the onset of the pandemic, corporate media outlets were advocating for lockdowns, school closures, and forced masking of children.

Two years later? The facts show lockdowns didn't work, masks didn't reduce spread, and that Democrats followed politics – not science."
1491154994112122881,2022-02-08 21:00:29+00:00,"After two years of nonsense, understand this:

The medical science didn't change, the political science did. https://t.co/jfM0XO2V5V"
1487115786430865408,2022-01-28 17:30:07+00:00,"Thank you to the great men and women of the Florida Fraternal Order of Police for your endorsement. 

As long as I'm Governor, I will continue to fight to ensure you have the resources you need to serve our communities all across Florida. https://t.co/alo7lzVn7W"
1486407487406419971,2022-01-26 18:35:35+00:00,"It's an honor to receive the endorsement from the Florida Police Chief's Association.

Florida's police chiefs consistently answer the call of upholding law and order in our state. Thank you for your service to the people of Florida and for your support. https://t.co/vV94zTUIrm"
1486117949761011714,2022-01-25 23:25:04+00:00,"I vow to continue the fight here in the Sunshine State against the Biden-Harris-Fauci administration’s heavy-handed mandates and unconstitutional power grabs.

Together, we will #KeepFloridaFree."
1486117948607680514,2022-01-25 23:25:04+00:00,"Happy #NationalFloridaDay!

Today we celebrate the best and freest state in the country and all it has to offer."
1485672429720674310,2022-01-24 17:54:44+00:00,"I'm honored to receive the endorsement of 59 sheriffs from across the Sunshine State today.

As Governor, I will ALWAYS have the backs of law enforcement and will never allow our law enforcement agencies to be defunded! https://t.co/puQxNSMv6k"
1482087668427206656,2022-01-14 20:30:10+00:00,"But SCOTUS did not deliver a full win. Roberts &amp; Kavanaugh sided with leftist justices to uphold “jab or job” mandate against health care workers.

FL will cont. to stand with our health care workers &amp; reject Faucian mandates, which are rooted in political, not medical science."
1482087667013664776,2022-01-14 20:30:10+00:00,"Yesterday, the Supreme Court sided with the Constitution and against Biden's OSHA vax mandate.

I called out Biden and Fauci's charade from day one and focused on protecting the livelihoods of Floridians. No one should have to choose between and jab and a job."
1482043714055061506,2022-01-14 17:35:31+00:00,"Welcome to Florida, @RuthlessPodcast!

Great to be on the Progrum.

https://t.co/z8sDLAtVQn https://t.co/WmP39U39Ek"
1481681260288389120,2022-01-13 17:35:15+00:00,"In 2020, we made it a priority to get our kids into classrooms while many other states locked kids out of school.

We kept schools open despite the opposition from media, unions, and liberal politicians, and Florida families are better for it. https://t.co/rOZDE8WmPu"
1481439777807339522,2022-01-13 01:35:41+00:00,"Across our nation we see students denied an education due to politically motivated school closures, workers denied employment due to heavy-handed mandates &amp; Americans denied freedoms due to a coercive biomedical apparatus.

In Florida, we're protecting people's rights &amp; freedoms. https://t.co/jXucZ7DGv9"
1478798621797666820,2022-01-05 18:40:40+00:00,"Legacy corporate media manufactures false narratives to advance its partisan agenda.

In 2021, I stood up against the blizzard of lies spun by these outlets and will do so again in 2022.

https://t.co/JSL1C23m9V"
1472936113094471691,2021-12-20 14:25:09+00:00,We will not allow our communities to descend into Faucian dystopias in which people’s freedoms are curtailed and their livelihoods destroyed.
1472936111001513989,2021-12-20 14:25:09+00:00,"COVID authoritarianism is meant to be perpetual.

They want a permanent mask mandate on commercial air travel and no doubt would impose additional lockdowns if they thought they could get away with it. https://t.co/oYKANUXkKc"
1471191217765507074,2021-12-15 18:51:34+00:00,"Critical Race Theory is just cultural Marxism aimed at delegitimizing America's founding and destroying the fabric of our nation.

There’s no place for this nonsense in Florida. We will not spend taxpayer money teaching people to hate America and each other. https://t.co/qFzkECVMnq"
1470876145595949059,2021-12-14 21:59:35+00:00,"If the federal government doesn't want to do their job and secure our border, the states must step up.

That's why Florida is taking direct action to fight back against Biden's reckless border policies that are making our own citizens less safe. https://t.co/9K4cZiuWit"
1466482335940030465,2021-12-02 19:00:09+00:00,"Big Tech has become the censorship arm of the Democratic Party and political left, silencing and de-platforming anyone who rejects the chosen left-wing narrative.

Silicon Valley oligarchs shouldn't be the arbiters of free speech in our country. We must fight back! https://t.co/7x3UZGDlrT"
1463870085362294803,2021-11-25 14:00:00+00:00,"In 1863, Pres. Lincoln proclaimed, ""a day of Thanksgiving &amp; Praise to our beneficent Father who dwelleth in the Heavens.""

Today, we give thanks for our family &amp; friends, for those who defend our freedom, &amp; for our good fortune to live in Florida.

Happy Thanksgiving &amp; God Bless!"
1462949249700794373,2021-11-23 01:00:56+00:00,"Proud to receive the endorsement of @RNHAFL!

FL serves as a safe haven for many who are escaping Marxist tyranny &amp; I'm proud that FL now serves as a model of freedom for the rest of the nation.

I will ALWAYS stand in defense of freedom &amp; liberty.
https://t.co/U6UEtPFC1I"
1461458857058881536,2021-11-18 22:18:38+00:00,"Despite edicts from the federal government ruling class, Florida will continue to stand for freedom and defend our Constitution. #KeepFloridaFree"
1461458648702586883,2021-11-18 22:17:49+00:00,"Signing these bills from the #KeepFloridaFree agenda means Floridians now have substantive protections against heavy-handed mandates, whether at theirs jobs or in their kids’ schools.

Nobody can be fired over COVID jabs and COVID vaxes cannot be mandated on schoolchildren."
1461458537922629637,2021-11-18 22:17:22+00:00,"Today I signed four pieces of legislation to PROTECT FREEDOM in Florida.

These bills protect the rights, liberties, and freedoms of all Floridians from power-hungry politicians and reckless government bureaucrats. https://t.co/MfK5dvnbZx"
1460630249989984260,2021-11-16 15:26:03+00:00,"Miami's Freedom Tower has been a symbol of freedom for generations.

Just 90 miles away, thousands are fighting for their freedom being held captive by a brutal dictatorship.

FL stands w/ freedom fighters as we work to preserve &amp; protect freedom at home. https://t.co/jIyYn3uxZW"
1459250333184675841,2021-11-12 20:02:45+00:00,"I am PROUD to receive the endorsement of @FloridaPBA!

The brave men and women who risk their lives every day to keep Floridians safe deserve our support, especially as cities across the country attempt to defund and dismantle law enforcement agencies.

#BackTheBlue"
1458484672921485314,2021-11-10 17:20:18+00:00,"I will not allow Floridians to be kicked to the curb &amp; stripped of their livelihoods.

I'm proud to call a special session of the FL Legislature to take necessary action protecting jobs, students, &amp; parental rights in FL against heavy-handed mandates.
https://t.co/sI0YGfqTuL"
